m    E[A_3]                                    E[A_5]                                    E[A_6]-(3E[A_5]-5E[A_3])
  3  0.0833333333333333333333333333333         0.238888888888888888888888888889          -2.6728e-50
  4  0.0763888888888888888888888888889         0.219444444444444444444444444444          -1.2027e-50
  5  0.0748451997499976632934352629859         0.214912276653326977491477248655          -2.6728e-50
  6  0.0743312757201646090534979423868         0.213401634659350708733424782807          -6.281e-50
  7  0.074119292900774654052695888735          0.212777561535668249909259275315          -2.4589e-49
  8  0.0740187088730038813097603357895         0.212481169309589364147737164531          -1.2428e-49
  9  0.0739659509794924546998796288076         0.212325614582656606047611633876          -8.4192e-50
 10  0.0739361005613858278032890834004         0.212237566235544717615824360194          -2.5124e-49
 11  0.073918176152222741502191870804          0.212184680329545882791138423083          -4.2898e-49
 12  0.0739068834851780938516308679623         0.212151354330076781655172538184          -8.0183e-51
 13  0.0738994812617856719121046723995         0.212129505997723243748653279858          3.341e-50
 14  0.0738944649122367459860394595281         0.212114697948167428024965931429          6.428e-49
 15  0.0738909675718546441358243931604         0.212104372931621990247863737806          1.7373e-49
 16  0.0738884688282377256233433157766         0.212096995434246596268634225941          -3.4345e-49
 20  0.0738834756160136114365904173706         0.212082251266260087985547230815          -7.2966e-49
 24  0.0738816887198969175460568098162         0.212076974077586056807946079449          3.635e-49
 30  0.0738807083218870721827086298777         0.212074078436616502314576938851          1.625e-48
 40  0.0738802442174715675191857702933         0.212072707589604120034595864073          1.3003e-48
 60  0.0738800720729763109041511502396         0.212072199091212591973012849285          3.0002e-48
