total 655s

  m                 E[A_3^3]                   E[A_5]            E[A_4^2&conv]                      P_6
  3   0.00344444444444444444     0.238888888888888889    0.0264444444444444163     0.101111111111110689
  4   0.00190277777777777778     0.219444444444444444    0.0242037037036982663      0.12249999999991844
  5    0.0017042483320777245     0.214912276653326977    0.0233701405808436936      0.12924838207580252
  6   0.00164920553269318701     0.213401634659350709    0.0230847622313666602     0.131829846822123131
  7   0.00162808543181764092      0.21277756153566825    0.0229668950636295784     0.132961474013139813
  8   0.00161843734867125734     0.212481169309589364    0.0229110564740843507     0.133516325200579369
  9   0.00161349046306481809     0.212325614582656606    0.0228818184274300722      0.13381320743810417
 10   0.00161073263759175351     0.212237566235544718    0.0228652992520669007     0.133983396871405346
 11    0.0016090934929421853     0.212184680329545883    0.0228553912291803302     0.134086526178117068
 12   0.00160806841341674539     0.212151354330076782    0.0228491546473365177     0.134151930266256892

wrote /home/vit-planocka/math/convex-position-probability/results/n6_twochord_polygon.json
